site,month,surfWaterTempMean
LEWI,Jan,9.835
LEWI,Jan,9.74
LEWI,Jan,9.673
LEWI,Jan,9.556
LEWI,Jan,9.404
LEWI,Jan,9.22
LEWI,Jan,9.044
LEWI,Jan,8.873
LEWI,Jan,8.699
LEWI,Jan,8.565
LEWI,Jan,8.47
LEWI,Jan,8.404
LEWI,Jan,8.357
LEWI,Jan,8.32
LEWI,Jan,8.296
LEWI,Jan,8.277
LEWI,Jan,8.256
LEWI,Jan,8.238
LEWI,Jan,8.214
LEWI,Jan,8.166
LEWI,Jan,8.076
LEWI,Jan,7.979
LEWI,Jan,7.933
LEWI,Jan,7.96
LEWI,Jan,8.039
LEWI,Jan,8.141
LEWI,Jan,8.211
LEWI,Jan,8.402
LEWI,Jan,8.475
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,NA
LEWI,Jan,8.365
LEWI,Jan,8.679
LEWI,Jan,8.791
LEWI,Jan,8.777
LEWI,Jan,8.754
LEWI,Jan,8.716
LEWI,Jan,8.65
LEWI,Jan,8.613
LEWI,Jan,8.599
LEWI,Jan,8.584
LEWI,Jan,8.567
LEWI,Jan,8.554
LEWI,Jan,8.541
LEWI,Jan,8.503
LEWI,Jan,8.485
LEWI,Jan,8.474
LEWI,Jan,8.455
LEWI,Jan,8.436
LEWI,Jan,8.423
LEWI,Jan,8.401
LEWI,Jan,8.371
LEWI,Jan,8.34
LEWI,Jan,8.309
LEWI,Jan,8.262
LEWI,Jan,8.169
LEWI,Jan,8.063
LEWI,Jan,8.021
LEWI,Jan,7.999
LEWI,Jan,7.99
LEWI,Jan,7.988
LEWI,Jan,7.936
LEWI,Jan,7.872
LEWI,Jan,7.77
LEWI,Jan,7.633
LEWI,Jan,7.502
LEWI,Jan,7.381
LEWI,Jan,7.368
LEWI,Jan,7.381
LEWI,Jan,7.447
LEWI,Jan,7.35
LEWI,Jan,7.672
LEWI,Jan,8.021
LEWI,Jan,8.245
LEWI,Jan,8.368
LEWI,Jan,8.481
LEWI,Jan,8.731
LEWI,Jan,8.985
LEWI,Jan,9.102
LEWI,Jan,9.163
LEWI,Jan,9.066
LEWI,Jan,8.966
LEWI,Jan,8.864
LEWI,Jan,8.732
LEWI,Jan,8.571
